currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,reservationTerm
USD,0.0,1240.0,1240.0,koreacentral,KR Central,2025-07-01T00:00:00Z,2e63d956-6032-57dd-a662-b82fa55f6f47,vCore,DZH318Z0DCS0,DZH318Z0DCS0/00PF,Azure Database for MySQL Flexible Server General Purpose Series Compute,vCore,Azure Database for MySQL,DZH317NR0P99,Databases,1 Hour,Reservation,False,AzureDB_MySQL_Flexible_Server_General_Purpose_Ddsv4_Compute,3 Years
USD,0.0,0.143,0.143,koreacentral,KR Central,2024-07-01T00:00:00Z,4649a6b7-d4f2-50ba-b1ab-165ac5ac0351,Zone Redundancy vCore,DZH318Z0B17K,DZH318Z0B17K/0114,SQL Managed Instance General Purpose - Premium Series Compute,1 vCore Zone Redundancy,SQL Managed Instance,DZH318XWNZTN,Databases,1 Hour,Consumption,True,1 vCore,
USD,0.0,5.57,5.57,koreacentral,KR Central,2025-07-01T00:00:00Z,468e3d12-366a-5eb3-9e0c-f270eec263ce,NP20s vCore,DZH318Z08VF5,DZH318Z08VF5/0HM0,Azure Managed Instance for Apache Cassandra - Compute,NP20s,Azure Managed Instance for Apache Cassandra,DZH317NW2D37,Databases,1 Hour,Consumption,True,MI_Apache_Cassandra_NP20s,
USD,0.0,0.3478,0.3478,koreacentral,KR Central,2024-06-01T00:00:00Z,46ca08f2-6b67-5750-a37b-4568b00df01a,Standard_D4ads_v5 vCore,DZH318Z08VF5,DZH318Z08VF5/093Q,Azure Managed Instance for Apache Cassandra - Compute,Apache_Cassandra_Standard_D4ads_v5,Azure Managed Instance for Apache Cassandra,DZH317NW2D37,Databases,1 Hour,Consumption,True,Apache_Cassandra_Standard_D4ads_v5,
USD,0.0,0.206404,0.206404,koreacentral,KR Central,2018-10-08T00:00:00Z,653cfaae-dac7-4668-902e-c033ba142ee0,vCore,DZH318Z0BJRQ,DZH318Z0BJRQ/00JN,SQL Managed Instance Hyperscale - Compute Gen5,2 vCore,SQL Managed Instance,DZH318XWNZTN,Databases,1 Hour,Consumption,False,,
USD,0.0,0.0,0.0,koreacentral,KR Central,2024-12-01T00:00:00Z,470c2910-d7fe-5d61-8651-d80fd1ca29ec,Backup LRS Free Data Stored,DZH318Z0J95H,DZH318Z0J95H/00K4,Azure Cosmos DB for MongoDB vCore,Backup Locally Redundant Storage Free,Azure Cosmos DB,DZH317DL9CC7,Databases,1 GB/Month,Consumption,True,Azure_Cosmos_DB_for_MongoDB_Backup_Locally_Redundant_Storage_Free,
USD,0.0,0.1418,0.1418,koreacentral,KR Central,2025-06-01T00:00:00Z,5b77a38e-90d1-5ef9-90d9-2b6762123327,vCore,DZH318Z0DCRV,DZH318Z0DCRV/00PC,Azure Database for MySQL Flexible Server Business Critical Compute,vCore,Azure Database for MySQL,DZH317NR0P99,Databases,1 Hour,Consumption,False,AzureDB_MySQL_Flexible_Server_Business_Critical_Compute,
USD,0.0,745.0,745.0,koreacentral,KR Central,2025-06-01T00:00:00Z,5b77a38e-90d1-5ef9-90d9-2b6762123327,vCore,DZH318Z0DCRV,DZH318Z0DCRV/00PN,Azure Database for MySQL Flexible Server Business Critical Compute,vCore,Azure Database for MySQL,DZH317NR0P99,Databases,1 Hour,Reservation,False,AzureDB_MySQL_Flexible_Server_Business_Critical_Compute,1 Year
USD,0.0,1490.0,1490.0,koreacentral,KR Central,2025-06-01T00:00:00Z,5b77a38e-90d1-5ef9-90d9-2b6762123327,vCore,DZH318Z0DCRV,DZH318Z0DCRV/00PG,Azure Database for MySQL Flexible Server Business Critical Compute,vCore,Azure Database for MySQL,DZH317NR0P99,Databases,1 Hour,Reservation,False,AzureDB_MySQL_Flexible_Server_Business_Critical_Compute,3 Years
USD,0.0,10.9728,10.9728,koreacentral,KR Central,2025-06-01T00:00:00Z,b9d71fa1-5c99-4a86-adc4-5e4d9aa2343b,vCore,DZH318Z0C1XP,DZH318Z0C1XP/004X,Azure Cosmos DB for PostgreSQL Compute- Worker Node,64 vCore,Azure Database for PostgreSQL,DZH3199QPQTD,Databases,1 Hour,Consumption,False,AzureDB_PostgreSQL_Hyperscale_Worker_Node_64vCore,
