currencyCode,retailPrice,location,skuName,OS,type,reservationTerm
USD,1.616,koreacentral,D16lds v5,Windows,Consumption,
USD,0.88,koreacentral,D16lds v5,Windows,DevTestConsumption,
USD,1.125,koreacentral,D16ads v6,Linux,Consumption,
USD,5813.0,koreacentral,D16ads v6,Linux,Reservation,1 Year
USD,11233.0,koreacentral,D16ads v6,Linux,Reservation,3 Years
USD,0.21,koreacentral,D2s v4,Windows,Consumption,
USD,0.118,koreacentral,D2s v4,Windows,DevTestConsumption,
USD,5.193,koreacentral,Dsv3 Type3,Linux,Consumption,
USD,27033.0,koreacentral,Dsv3 Type3,Linux,Reservation,1 Year
USD,51977.0,koreacentral,Dsv3 Type3,Linux,Reservation,3 Years
USD,4.848,koreacentral,D48lds v5,Windows,Consumption,
USD,2.64,koreacentral,D48lds v5,Windows,DevTestConsumption,
USD,0.447,koreacentral,D8as v6,Linux,Consumption,
USD,2311.0,koreacentral,D8as v6,Linux,Reservation,1 Year
USD,4466.0,koreacentral,D8as v6,Linux,Reservation,3 Years
USD,0.096,koreacentral,D2ls v5,Linux,Consumption,
USD,496.0,koreacentral,D2ls v5,Linux,Reservation,1 Year
USD,959.0,koreacentral,D2ls v5,Linux,Reservation,3 Years
USD,6.451,koreacentral,D128ls v6,Linux,Consumption,
USD,35038.0,koreacentral,D128ls v6,Linux,Reservation,1 Year
USD,66120.0,koreacentral,D128ls v6,Linux,Reservation,3 Years
USD,1.968,koreacentral,D32 v3,Linux,Consumption,
USD,9616.0,koreacentral,D32 v3,Linux,Reservation,1 Year
USD,19762.0,koreacentral,D32 v3,Linux,Reservation,3 Years
USD,0.866,koreacentral,D8lds v6,Windows,Consumption,
USD,0.498,koreacentral,D8lds v6,Windows,DevTestConsumption,
USD,1.225,koreacentral,D16ds v6,Linux,Consumption,
USD,6654.0,koreacentral,D16ds v6,Linux,Reservation,1 Year
USD,12556.0,koreacentral,D16ds v6,Linux,Reservation,3 Years
USD,6.49,koreacentral,Dasv4 Type2,Linux,Consumption,
USD,32974.0,koreacentral,Dasv4 Type2,Linux,Reservation,1 Year
USD,64812.0,koreacentral,Dasv4 Type2,Linux,Reservation,3 Years
USD,3.072,koreacentral,D64ls v5,Linux,Consumption,
USD,15877.0,koreacentral,D64ls v5,Linux,Reservation,1 Year
USD,30678.0,koreacentral,D64ls v5,Linux,Reservation,3 Years
USD,0.944,koreacentral,D16 v4,Linux,Consumption,
USD,4807.0,koreacentral,D16 v4,Linux,Reservation,1 Year
USD,9328.0,koreacentral,D16 v4,Linux,Reservation,3 Years
USD,0.752,koreacentral,D8ls v5,Windows,Consumption,
USD,0.384,koreacentral,D8ls v5,Windows,DevTestConsumption,
USD,2.952,koreacentral,D48 v3,Linux,Consumption,
USD,14911.0,koreacentral,D48 v3,Linux,Reservation,1 Year
USD,29092.0,koreacentral,D48 v3,Linux,Reservation,3 Years
USD,0.981,koreacentral,D8ds v6,Windows,Consumption,
USD,0.613,koreacentral,D8ds v6,Windows,DevTestConsumption,
USD,13.861,koreacentral,D128lds v6,Windows,Consumption,
USD,7.973,koreacentral,D128lds v6,Windows,DevTestConsumption,
USD,0.099,koreacentral,D2als v6,Linux,Consumption,
USD,512.0,koreacentral,D2als v6,Linux,Reservation,1 Year
USD,989.0,koreacentral,D2als v6,Linux,Reservation,3 Years
USD,3.965,koreacentral,D64s v6,Linux,Consumption,
USD,21534.0,koreacentral,D64s v6,Linux,Reservation,1 Year
USD,40636.0,koreacentral,D64s v6,Linux,Reservation,3 Years
USD,0.768,koreacentral,D16ls v5,Linux,Consumption,
USD,3969.0,koreacentral,D16ls v5,Linux,Reservation,1 Year
USD,7670.0,koreacentral,D16ls v5,Linux,Reservation,3 Years
USD,0.224,koreacentral,D4as v6,Linux,Consumption,
USD,1156.0,koreacentral,D4as v6,Linux,Reservation,1 Year
USD,2233.0,koreacentral,D4as v6,Linux,Reservation,3 Years
USD,3.52,koreacentral,D64lds v5,Linux,Consumption,
USD,18193.0,koreacentral,D64lds v5,Linux,Reservation,1 Year
USD,33302.0,koreacentral,D64lds v5,Linux,Reservation,3 Years
USD,0.432,koreacentral,D4s v6,Windows,Consumption,
USD,0.248,koreacentral,D4s v6,Windows,DevTestConsumption,
USD,9.782,koreacentral,D96as v6,Windows,Consumption,
USD,5.366,koreacentral,D96as v6,Windows,DevTestConsumption,
USD,0.47,koreacentral,D8alds v6,Linux,Consumption,
USD,2427.0,koreacentral,D8alds v6,Linux,Reservation,1 Year
USD,4690.0,koreacentral,D8alds v6,Linux,Reservation,3 Years
USD,0.209,koreacentral,D2alds v6,Windows,Consumption,
USD,0.117,koreacentral,D2alds v6,Windows,DevTestConsumption,
USD,10.08,koreacentral,D96as v4,Windows,Consumption,
USD,5.664,koreacentral,D96as v4,Windows,DevTestConsumption,
USD,5.664,koreacentral,D96as v4,Linux,Consumption,
USD,28778.0,koreacentral,D96as v4,Linux,Reservation,1 Year
USD,55968.0,koreacentral,D96as v4,Linux,Reservation,3 Years
USD,4.448,koreacentral,D64d v4,Linux,Consumption,
USD,22681.0,koreacentral,D64d v4,Linux,Reservation,1 Year
USD,43952.0,koreacentral,D64d v4,Linux,Reservation,3 Years
USD,0.462,koreacentral,D4ds v4,Windows,Consumption,
USD,0.278,koreacentral,D4ds v4,Windows,DevTestConsumption,
USD,0.123,koreacentral,D2s v3,Linux,Consumption,
USD,601.0,koreacentral,D2s v3,Linux,Reservation,1 Year
USD,1235.0,koreacentral,D2s v3,Linux,Reservation,3 Years
USD,0.382,koreacentral,D4als v6,Windows,Consumption,
USD,0.198,koreacentral,D4als v6,Windows,DevTestConsumption,
USD,3.454,koreacentral,D32s v6,Windows,Consumption,
USD,1.982,koreacentral,D32s v6,Windows,DevTestConsumption,
USD,5.16,koreacentral,D48s v3,Windows,Consumption,
USD,2.952,koreacentral,D48s v3,Windows,DevTestConsumption,
USD,0.123,koreacentral,D2 v3,Linux,Consumption,
USD,601.0,koreacentral,D2 v3,Linux,Reservation,1 Year
USD,1235.0,koreacentral,D2 v3,Linux,Reservation,3 Years
USD,9.801,koreacentral,D128ds v6,Linux,Consumption,
USD,53231.0,koreacentral,D128ds v6,Linux,Reservation,1 Year
USD,100452.0,koreacentral,D128ds v6,Linux,Reservation,3 Years
USD,6.23,koreacentral,Dsv4 Type2,Linux,Consumption,
USD,32201.0,koreacentral,Dsv4 Type2,Linux,Reservation,1 Year
USD,62219.0,koreacentral,Dsv4 Type2,Linux,Reservation,3 Years
USD,0.838,koreacentral,D8alds v6,Windows,Consumption,
USD,0.47,koreacentral,D8alds v6,Windows,DevTestConsumption,
USD,0.84,koreacentral,D8 v4,Windows,Consumption,
USD,0.472,koreacentral,D8 v4,Windows,DevTestConsumption,
USD,3.44,koreacentral,D32-8s v3,Windows,Consumption,
USD,1.968,koreacentral,D32-8s v3,Windows,DevTestConsumption,
USD,6.72,koreacentral,D64s v4,Windows,Consumption,
USD,3.776,koreacentral,D64s v4,Windows,DevTestConsumption,
USD,0.11,koreacentral,D2lds v5,Linux,Consumption,
USD,569.0,koreacentral,D2lds v5,Linux,Reservation,1 Year
