armRegionName,serviceFamily,serviceName,skuName,armSkuName,retailPrice,priceType,reservationTerm,unitOfMeasure,currencyCode
koreacentral,Compute,Virtual Machines,D32alds v6 Low Priority,Standard_D32alds_v6,0.376,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48s v4,Standard_D48s_v4,5.04,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48s v4,Standard_D48s_v4,2.832,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,DC64adsv6 Low Priority,Standard_DC64ads_v6,0.9,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX16-8ms v2 Spot,Standard_FX16-8ms_v2,0.52864,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX16-8ms v2 Spot,Standard_FX16-8ms_v2,0.41088,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F4s Spot,Standard_F4s,0.052984,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F4s Spot,Standard_F4s,0.029213,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,NC24rs v3 Spot,Standard_NC24rs_v3,2.86902,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8s v3,Standard_D8s_v3,0.492,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8s v3,Standard_D8s_v3,2404.0,,1 Year,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8s v3,Standard_D8s_v3,4941.0,,3 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,D96s v6 Spot,Standard_D96s_v6,0.85161,,,1 Hour,USD
koreacentral,Compute,Specialized Compute,AV64 VCF BYOL,AV64 VCF BYOL,14.4427,,,1 Hour,USD
koreacentral,Compute,Specialized Compute,AV64 VCF BYOL,AV64 VCF BYOL,65100.0,,1 Year,1 Hour,USD
koreacentral,Compute,Specialized Compute,AV64 VCF BYOL,AV64 VCF BYOL,122824.0,,3 Years,1 Hour,USD
koreacentral,Compute,Specialized Compute,AV64 VCF BYOL,AV64 VCF BYOL,204706.0,,5 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,D16ds v4,Standard_D16ds_v4,1.848,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D16ds v4,Standard_D16ds_v4,1.112,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4d v4 Low Priority,Standard_D4d_v4,0.0556,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48as v4 Spot,Standard_D48as_v4,0.721728,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48as v4 Spot,Standard_D48as_v4,0.405542,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D32lds v6 Spot,Standard_D32lds_v6,0.496188,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D32lds v6 Spot,Standard_D32lds_v6,0.285398,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,DC48adsv6 Low Priority,Standard_DC48ads_v6,0.675,,,1 Hour,USD
koreacentral,Compute,Specialized Compute,AV48 VCF BYOL,AV48 VCF BYOL,13.05147,,,1 Hour,USD
koreacentral,Compute,Specialized Compute,AV48 VCF BYOL,AV48 VCF BYOL,60072.0,,1 Year,1 Hour,USD
koreacentral,Compute,Specialized Compute,AV48 VCF BYOL,AV48 VCF BYOL,116030.0,,3 Years,1 Hour,USD
koreacentral,Compute,Specialized Compute,AV48 VCF BYOL,AV48 VCF BYOL,193382.0,,5 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48a v4,Standard_D48a_v4,5.04,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48a v4,Standard_D48a_v4,2.832,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX96-24mds v2,Standard_FX96-24mds_v2,23.46,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX96-24mds v2,Standard_FX96-24mds_v2,19.044,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64ds v4 Low Priority,Standard_D64ds_v4,0.89,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F72as v6 Spot,Standard_F72as_v6,1.342357,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F72as v6 Spot,Standard_F72as_v6,0.868078,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX64-32ms v2,Standard_FX64-32ms_v2,13.216,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX64-32ms v2,Standard_FX64-32ms_v2,10.272,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64 v4 Low Priority,Standard_D64_v4,2.688,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D64 v4 Low Priority,Standard_D64_v4,0.755,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D128lds v6,Standard_D128lds_v6,7.973,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D128lds v6,Standard_D128lds_v6,43304.0,,1 Year,1 Hour,USD
koreacentral,Compute,Virtual Machines,D128lds v6,Standard_D128lds_v6,81718.0,,3 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,NC16asT4 v3 Low Priority,Standard_NC16as_T4_v3,0.296,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX16mds v2 Spot,Standard_FX16mds_v2,0.50784,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,DC64asv6 Low Priority,Standard_DC64as_v6,2.609,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,DC64asv6 Low Priority,Standard_DC64as_v6,0.716,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D2as v4,Standard_D2as_v4,0.118,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D2as v4,Standard_D2as_v4,600.0,,1 Year,1 Hour,USD
koreacentral,Compute,Virtual Machines,D2as v4,Standard_D2as_v4,1166.0,,3 Years,1 Hour,USD
koreacentral,Compute,Cloud Services,A8 v2,Standard_A8_v2,0.748,,,1 Hour,USD
koreacentral,Compute,Cloud Services,A8 v2,Standard_A8_v2,0.45,,,1 Hour,USD
koreacentral,Compute,Azure App Service,P4mv4,P4mv4,2.007,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,DC4adsv6 Low Priority,Standard_DC4ads_v6,0.186,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,DC4adsv6 Low Priority,Standard_DC4ads_v6,0.0562,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F4 Low Priority,Standard_F4,0.0408,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8as v4 Spot,Standard_D8as_v4,0.120288,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8as v4 Spot,Standard_D8as_v4,0.06759,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX16-4ms v2,Standard_FX16-4ms_v2,3.304,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,FX16-4ms v2,Standard_FX16-4ms_v2,2.568,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8 v3,Standard_D8_v3,0.492,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8 v3,Standard_D8_v3,2404.0,,1 Year,1 Hour,USD
koreacentral,Compute,Virtual Machines,D8 v3,Standard_D8_v3,4941.0,,3 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,F32s v2 Low Priority,Standard_F32s_v2,0.272,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,F1as v6 Spot,Standard_F1as_v6,0.012057,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,NC8as T4 v3,Standard_NC8as_T4_v3,1.293,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,NC8as T4 v3,Standard_NC8as_T4_v3,0.925,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4ls v5,Standard_D4ls_v5,0.192,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4ls v5,Standard_D4ls_v5,992.0,,1 Year,1 Hour,USD
koreacentral,Compute,Virtual Machines,D4ls v5,Standard_D4ls_v5,1917.0,,3 Years,1 Hour,USD
koreacentral,Compute,Virtual Machines,D16ls v6 Spot,Standard_D16ls_v6,0.115419,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D2ds v4,Standard_D2ds_v4,0.231,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D2ds v4,Standard_D2ds_v4,0.139,,,1 Hour,USD
koreacentral,Compute,Azure App Service,P2mv4,P2mv4,0.686,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D96lds v6 Spot,Standard_D96lds_v6,0.856336,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48als v6,Standard_D48als_v6,4.584,,,1 Hour,USD
koreacentral,Compute,Virtual Machines,D48als v6,Standard_D48als_v6,2.376,,,1 Hour,USD
