currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,effectiveEndDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,reservationTerm
USD,0.0,4.761,4.761,koreacentral,KR Central,2025-01-01T00:00:00Z,,08bfcc6b-6dd3-569d-8881-419f3b6a6cd0,FX24mds v2,DZH318Z0H7DR,DZH318Z0H7DR/06MN,Virtual Machines FXmdsv2 Series,FX24mds v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_FX24mds_v2,
USD,0.0,23773.0,23773.0,koreacentral,KR Central,2025-01-01T00:00:00Z,,08bfcc6b-6dd3-569d-8881-419f3b6a6cd0,FX24mds v2,DZH318Z0H7DR,DZH318Z0H7DR/0951,Virtual Machines FXmdsv2 Series,FX24mds v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_FX24mds_v2,1 Year
USD,0.0,33782.0,33782.0,koreacentral,KR Central,2025-01-01T00:00:00Z,,08bfcc6b-6dd3-569d-8881-419f3b6a6cd0,FX24mds v2,DZH318Z0H7DR,DZH318Z0H7DR/094Z,Virtual Machines FXmdsv2 Series,FX24mds v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_FX24mds_v2,3 Years
USD,0.0,1.397632,1.397632,koreacentral,KR Central,2025-07-01T00:00:00Z,,08c7b299-d35d-5865-95ab-92d33fd1d7dd,E80is v4 Spot,DZH318Z0CSHC,DZH318Z0CSHC/02DT,Virtual Machines Esv4 Series Windows,E80is v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E80is_v4,
USD,0.0,0.870656,0.870656,koreacentral,KR Central,2025-07-01T00:00:00Z,,08c7b299-d35d-5865-95ab-92d33fd1d7dd,E80is v4 Spot,DZH318Z0CSHC,DZH318Z0CSHC/02DT,Virtual Machines Esv4 Series Windows,E80is v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,Standard_E80is_v4,
USD,0.0,2.44,2.44,koreacentral,KR Central,2021-11-01T00:00:00Z,,727f0633-e406-52ed-b16f-659c5a837a62,E20as v4,DZH318Z0CM92,DZH318Z0CM92/00BM,Virtual Machines Easv4 Series Windows,E20as v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E20as_v4,
USD,0.0,1.52,1.52,koreacentral,KR Central,2021-11-01T00:00:00Z,,727f0633-e406-52ed-b16f-659c5a837a62,E20as v4,DZH318Z0CM92,DZH318Z0CM92/00BM,Virtual Machines Easv4 Series Windows,E20as v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,False,Standard_E20as_v4,
USD,0.0,1.709,1.709,koreacentral,KR Central,2022-09-01T00:00:00Z,,08cc67ef-85e1-53f9-943e-f4be2eef858b,E96bs v5 Low Priority,DZH318Z09LR5,DZH318Z09LR5/0107,Virtual Machines Ebsv5 Series,Standard_E96bs_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E96bs_v5,
USD,0.0,0.962304,0.962304,koreacentral,KR Central,2025-07-01T00:00:00Z,,08f7f1d6-4d2d-519a-8c47-319e28c6be1e,D64 v4 Spot,DZH318Z0D1MV,DZH318Z0D1MV/00KF,Virtual Machines Dv4 Series Windows,D64 v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D64_v4,
USD,0.0,0.540723,0.540723,koreacentral,KR Central,2025-07-01T00:00:00Z,,08f7f1d6-4d2d-519a-8c47-319e28c6be1e,D64 v4 Spot,DZH318Z0D1MV,DZH318Z0D1MV/00KF,Virtual Machines Dv4 Series Windows,D64 v4 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,Standard_D64_v4,
